video 1/1 (86/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 1 stop, 20.6ms
video 1/1 (87/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 1 stop, 20.9ms
video 1/1 (88/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 1 stop, 20.2ms
video 1/1 (89/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 1 stop, 19.9ms
video 1/1 (90/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (91/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 1 stop, 21.3ms
video 1/1 (92/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (93/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (94/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (95/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (96/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (97/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.7ms
video 1/1 (98/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (99/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.8ms
video 1/1 (100/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.2ms
video 1/1 (101/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (102/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (103/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (104/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.9ms
video 1/1 (105/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.9ms
video 1/1 (106/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.8ms
video 1/1 (107/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.4ms
video 1/1 (108/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 19.8ms
video 1/1 (109/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (110/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (111/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (112/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (113/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (114/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
